RESPAGE,LIFESAT,INFOSOU1,TRUMTVINFO,FATEINLF,BUSINRUS,BUSINTUR,BUSINGA,NEIGHBOR,USSRDISS,EUSUPP,EEUSUPNA,EEUNSUW,EEUSUPW,MAINFRN,MAINENEM,MAINMOD,PARTYSUPP,PARTYSUPF,WORKTYP,PERSINC,EDUYRS,RFAEDUC,RMOEDUC,RELGNEW,RELIMP,ECONSTN,MONYTOT
31.0,6.0,4.0,-4.0,5.0,1.0,1.0,0.0,6.0,1.0,5.0,2.0,1.0,-7.0,2.0,5.0,6.0,-5.0,-5.0,-7.0,5.0,13.0,7.0,7.0,3.0,4.0,1.0,5.0
33.0,10.0,4.0,302.0,5.0,1.0,1.0,0.0,5.0,2.0,3.0,3.0,-7.0,-7.0,1.0,5.0,11.0,302.0,-7.0,-7.0,-1.0,11.0,4.0,4.0,3.0,3.0,5.0,-1.0
35.0,10.0,8.0,305.0,10.0,1.0,1.0,0.0,6.0,-1.0,5.0,-1.0,-7.0,-7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7.0,9.0,14.0,5.0,5.0,3.0,4.0,3.0,-1.0
18.0,10.0,8.0,301.0,10.0,0.0,1.0,1.0,3.0,1.0,4.0,3.0,-7.0,-7.0,1.0,5.0,8.0,-2.0,-2.0,-7.0,-1.0,12.0,7.0,4.0,8.0,3.0,3.0,-1.0
28.0,7.0,5.0,309.0,10.0,-1.0,0.0,1.0,8.0,1.0,5.0,1.0,5.0,-7.0,1.0,5.0,11.0,-5.0,-3.0,4.0,4.0,16.0,7.0,7.0,3.0,1.0,3.0,4.0
19.0,8.0,4.0,-5.0,8.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,2.0,-7.0,2.0,5.0,8.0,-5.0,-5.0,-7.0,9.0,14.0,7.0,5.0,3.0,4.0,3.0,4.0
34.0,4.0,5.0,-4.0,10.0,1.0,1.0,1.0,8.0,2.0,3.0,3.0,-7.0,-7.0,-5.0,-5.0,11.0,-5.0,-3.0,4.0,5.0,17.0,5.0,5.0,3.0,4.0,3.0,5.0
23.0,10.0,8.0,401.0,1.0,1.0,1.0,0.0,5.0,-1.0,-1.0,-1.0,-7.0,-7.0,3.0,-1.0,4.0,-1.0,-1.0,-7.0,6.0,-1.0,-1.0,-1.0,6.0,4.0,3.0,6.0
18.0,6.0,5.0,-5.0,8.0,1.0,0.0,-1.0,1.0,1.0,5.0,2.0,5.0,-7.0,7.0,5.0,1.0,307.0,-7.0,-7.0,9.0,12.0,5.0,4.0,3.0,3.0,3.0,4.0
34.0,8.0,8.0,306.0,5.0,1.0,1.0,0.0,6.0,-1.0,-1.0,-1.0,-7.0,-7.0,2.0,-1.0,-1.0,-5.0,-5.0,-7.0,9.0,9.0,4.0,3.0,6.0,4.0,3.0,5.0
35.0,5.0,5.0,-4.0,10.0,0.0,0.0,0.0,8.0,1.0,4.0,1.0,7.0,-7.0,-5.0,5.0,1.0,-5.0,-3.0,-7.0,6.0,13.0,4.0,4.0,3.0,3.0,-1.0,7.0
